Raw Filename,SamplerType,windowSize,sample_size ,parallel_count,cluster_centers,time taken
"WillsSampler.w=50.['sample_size=30.', 'parallel_count=8.', 'cluster_centers=21.'] time: 0.3413369655609131",WillsSampler,50,30,8,21,0.3413369656
"WillsSampler.w=50.['sample_size=30.', 'parallel_count=8.', 'cluster_centers=31.'] time: 0.43529772758483887",WillsSampler,50,30,8,31,0.4352977276
"WillsSampler.w=50.['sample_size=30.', 'parallel_count=8.', 'cluster_centers=41.'] time: 0.5580103397369385",WillsSampler,50,30,8,41,0.5580103397
"WillsSampler.w=50.['sample_size=30.', 'parallel_count=8.', 'cluster_centers=51.'] time: 0.7232232093811035",WillsSampler,50,30,8,51,0.7232232094
"WillsSampler.w=50.['sample_size=30.', 'parallel_count=8.', 'cluster_centers=6.'] time: 0.1219489574432373",WillsSampler,50,30,8,6,0.1219489574
"WillsSampler.w=50.['sample_size=30.', 'parallel_count=8.'] time: 0.10299992561340332",WillsSampler,50,30,8,0,0.1029999256
"WillsSampler.w=50.['sample_size=30.', 'parallel_count=16.', 'cluster_centers=1.'] time: 0.09642791748046875",WillsSampler,50,30,16,1,0.09642791748
"WillsSampler.w=50.['sample_size=30.', 'parallel_count=16.', 'cluster_centers=11.'] time: 0.19352412223815918",WillsSampler,50,30,16,11,0.1935241222
"WillsSampler.w=50.['sample_size=30.', 'parallel_count=16.', 'cluster_centers=16.'] time: 0.4016609191894531",WillsSampler,50,30,16,16,0.4016609192
"WillsSampler.w=50.['sample_size=30.', 'parallel_count=16.', 'cluster_centers=21.'] time: 0.40544676780700684",WillsSampler,50,30,16,21,0.4054467678
